,MAGRichness,MAGShannons,GeneRichness,GeneShannons,Aerobic,Microaerophillic,Light_driven,N_Reducer,DNRA,Methanotroph,StreamOrder_WHOND,Lat,Long,WC_Height,AvgNPOC,SpC,SO4,NO3,TN
S19S_0006,236,1.978361593,3575,3.179881666,9090.874772,3959.681614,4589.513402,862.1340194,39.12836998,0.216611598,2,39.311813,-76.717476,17,1.523333333,1293,33.45,6.43,1.55
S19S_0007,54,2.270389216,292,2.589300572,1181.167988,630.7555185,209.7356767,27.49669057,21.61235757,0,1,37.05229,-119.195359,3,1.013333333,56.4,0.19,0,0.4
S19S_0008,36,2.344563404,267,2.473897169,722.858683,380.7335404,95.156955,15.39003241,16.59190399,0,1,36.961273,-119.028254,6,1.87,28.1,0.23,0,0.15
S19S_0009,467,5.004497261,26855,5.876598566,9315.613824,6489.959896,1996.815335,158.5867812,688.9218549,25.75323173,6,42.9875,-108.3982,6,2.705,580,160.13,0,0.53
S19S_0010,408,4.362466992,13431,4.281936534,7991.850859,3907.323825,6009.131479,14.16311809,77.32587501,1.301702384,7,31.667905,-81.8403,30,2.273333333,125.7,13.55,0.85,0.41
S19S_0011,449,4.428042483,12595,3.822701567,4194.83363,2603.270056,1617.966359,122.8649974,380.6985331,9.748793718,5,33.95569,-83.437673,100,3.5,51.4,3.03,2.99,1.29
S19S_0013,53,2.67527164,469,3.4076923,1284.079991,931.7964282,525.6527473,72.7981386,579.0229959,0,1,38.8944,-78.1474,3,1.896666667,134.4,3.17,0.97,0.37
S19S_0016,81,2.686404755,700,2.500521129,1293.929143,902.1535482,540.5025812,79.49165373,453.9632675,0,2,39.10415,-96.60276,16,0.953333333,597,36.2,0,0.41
S19S_0017,382,2.785309779,6275,3.841775735,38480.12514,19025.59065,13460.54385,752.6942375,528.5045257,0.763768716,3,38.94684,-96.44389,5,2.786666667,371,8.08,1.2,0.85
S19S_0020,149,2.366207237,2433,3.458800577,8998.924193,5587.552369,3963.500189,18.57882441,1.29262958,0,7,31.8531,-88.15748,21.5,3.81,217,36.24,0.38,0.39
S19S_0021,249,3.522140171,7211,3.02214492,9883.259968,3949.201722,5812.980781,176.8732694,12.71997706,0,6,32.54108,-87.79821,26,1.563333333,294,64.12,0,0.53
S19S_0023,152,1.901044474,3149,3.353976064,6795.73719,2842.970347,3321.60806,520.6407297,49.97766488,0,4,39.75854,-102.44917,19,4.443333333,543,1.55,0.19,0.44
S19S_0024,423,2.948024016,11597,3.875759353,24521.30019,15926.91509,12982.0353,243.5980356,637.8862874,3.828289248,4,34.44251,-96.62259,37.5,0.64,534,5.13,1.71,0.74
S19S_0025,322,1.735555551,6486,2.976919666,26138.74368,9077.80403,15218.93634,1346.1542,91.04896067,1.521868773,3,33.37834,-97.78338,5.5,1.836666667,726,27.12,0,0.27
S19S_0026,58,2.318567233,392,2.365543853,885.2793244,628.5510176,83.33465899,21.39014784,322.5332839,0,1,40.03497,-105.54393,17,3.503333333,21.4,1.22,0,0.22
S19S_0028,115,1.075151,1309,0.984803311,6563.935078,2346.008724,2174.933323,56.11837922,2105.872346,0.537552033,4,33.750837,-111.508141,10,1.736666667,490,14.1,0,0.78
S19S_0029,42,2.350036377,262,2.708162192,1108.910005,787.4163047,424.4430596,14.23696425,332.8304165,0,3,40.78464,-111.79547,12,0.676666667,570,77.74,0.23,0.41
S19S_0032,45,2.48431494,326,2.747272559,857.3856209,485.1288228,105.8339321,19.81535269,15.69937097,0,1,36.95497,-119.02375,5,2.026666667,39.4,2.18,0.18,1.5
S19S_0034,46,2.363786264,335,2.665773109,647.6062918,397.265953,107.0656512,13.51933463,14.87204222,0,1,35.868,-106.5233,4,1.226666667,55.9,3.5,1.17,0.41
S19S_0035,43,2.461365755,351,2.644313802,973.9572265,583.8707999,175.6216145,25.77523545,49.79552652,0,1,32.327329,-110.759543,19,9.766666667,77,3.65,0,0.63
S19S_0036,389,2.672139797,6048,3.648491689,38427.1374,23942.95476,7248.039567,207.4650553,81.52134836,1.064267741,8,46.372753,-119.271963,26,1.126666667,156.7,12.11,0.89,0.38
S19S_0037,288,2.457493866,3132,3.385776406,7373.575841,2589.66806,3625.455912,348.2860115,477.1890268,0.191305722,2,39.8579143,-75.7831181,29,0.925,239,18,18.17,4.26
S19S_0038,212,2.865251605,2019,3.264351134,12128.04182,4997.123669,3427.959302,402.6578372,1016.476744,0.220946737,2,39.8595761,-75.784143,7.1,0.816666667,237,17.88,18.18,4.23
S19S_0039,308,2.733935358,3582,2.953874853,10879.47642,7044.166999,4074.162012,348.8578177,42.29540334,0,3,35.966243,-84.357361,20,3.03,220,13.28,7.82,2.22
S19S_0040,120,2.753950336,1007,3.69464485,950.3084649,695.0556342,318.1614699,16.51001369,167.0316574,0.180269479,1,39.08766,-96.58479,10,0.94,486,31.91,0,0.2
S19S_0042,115,2.18148913,813,2.810467022,12634.22611,9655.538768,8595.488011,186.8414893,0.6904183,0,1,25.40982,-80.96423,55,13.40666667,6880,209.18,0.54,1.21
S19S_0044,269,2.354584538,3318,3.227259125,31182.61484,20965.33275,8243.556936,2682.074617,96.68512918,0.778934986,3,33.130796,-79.810168,24,13.09333333,94,4.68,0.4,0.55
S19S_0053,426,2.9176804,7832,3.522964827,39919.39469,26230.34035,6489.882319,1873.555942,253.4657203,3.425762278,1,41.869583,-72.796767,19,2.523333333,308,14.99,2.89,1.03
S19S_0054,281,2.942018621,3678,3.730748748,14698.3816,9224.667411,4591.644529,382.2273655,33.68367238,0.114654792,5,37.5728,-77.02396,40,4.296666667,121.4,7.06,0,0.44
S19S_0061,454,4.462050514,24005,3.219070646,7525.658942,5099.434547,2025.675869,719.2381241,724.3974039,7.20438698,1,43.1091,-89.6403,55,2.646666667,576,11.81,9.84,2.52
S19S_0062,81,2.506788874,230,3.577769778,3274.682302,1709.301279,186.7356176,151.469052,110.0606433,0,5,38.544778,-106.950056,40,1.7,194.2,13.78,0,0.29
S19S_0063,319,2.288054222,5693,3.406769911,57748.43512,26107.97869,17889.43059,64.40127358,43.90340764,1.242497471,6,30.250278,-97.709566,40,2.076666667,537,29.2,1.85,0.71
S19S_0066,373,2.744187663,4538,3.81290041,33215.76176,15934.24354,8136.721067,2265.46427,92.95911625,2.285705122,7,35.198601,-106.643074,5,2.57,208,21.56,0.69,0.56
S19S_0067,428,5.019156822,25551,3.74656396,3806.429102,2878.032923,1031.36297,209.7239151,790.2064442,9.68281425,3,42.39193,-85.35402,4,2.18,526,15.3,6.71,2.09
S19S_0072,120,2.390759893,1038,3.26230562,2138.67548,1510.011021,285.0847847,178.1109991,56.33508967,0,1,42.5233858,-71.1854501,16,3.333333333,1080,16.66,3.5,1.39
S19S_0073,244,2.122991299,3128,3.330441636,38371.57652,27014.31268,9467.669198,4041.846952,120.4833173,0.064645714,1,42.7696832,-70.9168932,7,6.673333333,379,2.95,0.55,0.96
S19S_0074,468,4.465772786,26952,5.433958331,26155.88333,10385.69105,14627.98598,579.7697086,1276.467786,14.17959259,8,46.376327,-119.272955,23,1.37,140.8,10.12,0.43,0.48
S19S_0076,460,3.417407255,28999,4.674131359,38357.59507,10057.33358,13550.3336,958.9333088,859.543897,18.70391906,8,46.679398,-119.462645,26,1.473333333,139.6,9.87,0,0.22
S19S_0077,315,2.589767297,2952,3.540628997,33906.45832,23356.95978,5115.637133,4065.67473,186.8735483,0.588839765,6,40.664703,-105.224786,29,2.223333333,49.5,3.47,0,0.24
S19S_0078,282,3.493646788,7761,4.46690186,7470.483143,7228.575436,690.962736,635.664654,1712.319604,5.194047879,2,43.43138889,-123.5855556,30,2.433333333,109.3,8.6,0,0.89
S19S_0079,385,2.47510246,8316,3.409697129,43836.81978,33022.92005,9253.976222,778.6281468,68.42078276,1.714640198,6,43.6367,-123.5719,19,1.333333333,89.6,3.7,0,1.25
S19S_0081,385,2.660733392,5977,3.751958571,24475.51184,18449.79592,10565.89319,959.3006047,108.1852637,0.243228538,4,38.9603293,-76.9259674,23.5,2.683333333,423,11.64,2.95,0.99
S19S_0082,128,3.021886065,2160,1.468747718,5698.071577,1577.352417,5329.686605,16.94646357,0.832688433,0,3,38.8749661,-76.5464942,60,5.446666667,12400,515.7,0,0.44
S19S_0083,33,1.171325516,157,2.647255009,11750.26082,3305.364658,151.2205417,15.2668287,3.052106485,0,5,40.31083,-88.3227,5.5,3.046666667,725,78.7,0.61,0.53
S19S_0085,218,2.486438122,2440,3.466648965,1296.237189,1062.966527,250.5795384,72.5206305,86.62680857,0.147932143,5,43.64819,-115.98891,6.75,1.243333333,112.9,4.04,0,0.4
S19S_0086,261,2.82001176,2921,3.776854225,11078.66777,5832.654689,3939.800515,1029.924911,517.5076354,0,3,40.7801,-111.8054,5,0.696666667,563,82.35,0,0.37
S19S_0087,51,2.535603482,460,3.145996466,465.8639158,275.6241529,83.49590431,14.49592661,45.82261811,0,2,43.1231912,-116.7745057,2,1.69,177.2,1.74,0.21,0.32
S19S_0089,469,4.534985193,29441,4.971903821,16994.75459,11433.99478,5333.645658,485.3149066,1321.990981,6.232754558,1,37.21014,-80.44513,10,1.706666667,511,22.55,2.83,0.81
S19S_0090,108,2.457882043,1005,3.049062692,2900.403802,1640.973895,731.0355014,93.99402806,539.1025279,0.13794989,1,37.291396,-75.930807,5,1.81,242,36.51,21.85,5.5
S19S_0097,317,2.421267776,3721,3.33100348,11457.0254,6932.738313,3464.217854,614.1417185,234.8047799,0.855171094,5,41.720744,-111.88642,22,0.906666667,455,14.24,1.06,0.39
S19S_0098,58,1.920785606,432,3.341354952,1398.753085,1008.521249,777.6457959,24.39999283,709.1025585,0,3,41.950373,-111.580465,7.5,0.866666667,296,1.9,0.65,0.31
S19S_0099,457,4.445420725,21318,2.654454684,7610.279251,3719.594449,6685.70439,650.2394821,157.5724237,11.52718704,7,39.2386771,-84.7123967,20.47,0.98,657,47.79,4.43,1.51